"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"240",81018238,"Movie","Samantaral","Partha Chakraborty","Riddhi Sen, Parambrata Chatterjee, Soumitra Chatterjee, Aparajita Adhya, Tanusree Chakraborty, Kushal Chakraborty, Anindya Banerjee, Surangana Banerjee","India","September 15, 2018",2017,"TV-MA","110 min","Dramas, International Movies","On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years."
"241",81016339,"Movie","The Secret","Raffi Ahmad, Arie Azis","Nagita Slavina, Raffi Ahmad, Marshanda, Roy Marten, Kanaya Gleadys, Kartika Putri, Tyas Mirasih, Wika Salim","","September 15, 2018",2018,"TV-MA","98 min","Horror Movies, International Movies","Learning that her father has married a woman her own age, Kanaya leaves home, only to get into an accident that lands her in a haunted hospital."
"242",80067522,"Movie","First They Killed My Father","Angelina Jolie","Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun","Cambodia, United States","September 15, 2017",2017,"TV-MA","137 min","Dramas","A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia."
"244",80142637,"Movie","Janaan","Azfar Jafri","Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz","Pakistan","September 15, 2017",2016,"TV-14","132 min","Comedies, Dramas, International Movies","After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin."
"245",80192014,"Movie","Larceny","R. Ellis Frazier","Dolph Lundgren, Corbin Bernsen, Louis Mandylor, Isaac C. Singleton Jr., Jocelyn Osorio, Eddie J. Fernandez, David Fernandez Jr., Mauricio Mendoza, Steven Dell, Luis Gatica","United States, Mexico","September 15, 2017",2017,"TV-14","87 min","Action & Adventure","An ex-CIA contractor turned thief is forced to head a CIA gambit to infiltrate a black ops Mexican prison and steal $50 million in drug cartel money."
"246",80192015,"Movie","Rumble","R. Ellis Frazier","Gary Daniels, Luis Gatica, Sissi Fleitas, Eddie J. Fernandez, Fabián López, Justin Nesbitt, Pedro Rodman Rodriguez","Mexico","September 15, 2017",2016,"TV-MA","92 min","Action & Adventure, Independent Movies","An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob."
"247",80168230,"Movie","Strong Island","Yance Ford","","United States, Denmark","September 15, 2017",2017,"TV-MA","108 min","Documentaries","The forces of family, grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker Yance Ford's brother."
"248",80202129,"TV Show","The Five","Mark Tonderai","Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta","United Kingdom","September 15, 2017",2016,"TV-MA","1 Season","British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police."
"249",80088910,"Movie","Natural Born Pranksters","Roman Atwood, Ben Pluimer","Roman Atwood, Vitaly Zdorovetskiy, Dennis Roady","United States","September 15, 2016",2016,"R","91 min","Comedies","The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts."
"253",81093951,"Movie","Oh! Baby","B. V. Nandini Reddy","Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi","India","September 14, 2019",2019,"TV-14","157 min","Comedies, International Movies, Music & Musicals","A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life."
"254",80238013,"Movie","The Crystal Calls Making the Dark Crystal: Age of Resistance","Randall Lobb","Taron Egerton, Natalie Dormer, Simon Pegg, Jason Isaacs","United States","September 14, 2019",2019,"TV-PG","83 min","Documentaries, International Movies","Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series."
"255",81089941,"Movie","We Have Always Lived in the Castle","Stacie Passon","Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford","United States","September 14, 2019",2018,"TV-14","95 min","Dramas, Thrillers","The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune."
"258",80217733,"Movie","Bleach","Shinsuke Sato","Sota Fukushi, Hana Sugisaki, Ryo Yoshizawa, Erina Mano, Yu Koyanagi, Seiichi Tanabe, Taichi Saotome, Miyavi, Masami Nagasawa, Yosuke Eguchi","Japan","September 14, 2018",2018,"TV-14","109 min","Action & Adventure, International Movies, Sci-Fi & Fantasy","When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first."
"259",80220035,"TV Show","Boca Juniors Confidential","","","","September 14, 2018",2018,"TV-PG","1 Season","Docuseries, International TV Shows, Spanish-Language TV Shows","Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
"260",80194704,"TV Show","Car Masters: Rust to Riches","","Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle","","September 14, 2018",2018,"TV-PG","1 Season","Reality TV","The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
"261",80225949,"TV Show","Norm Macdonald Has a Show","","","United States","September 14, 2018",2018,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns."
"263",81002336,"TV Show","Super Monsters Monster Party","","Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina","","September 14, 2018",2018,"TV-Y","1 Season","Kids' TV","Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!"
"264",80188120,"Movie","The Angel","Ariel Vromen","Marwan Kenzari, Hannah Ware, Toby Kebbell, Waleed Zuaiter, Maisa Abd Elhadi, Sasson Gabai, Mickey Leon, Ori Pfeffer, Slimane Dazi","Israel, United States","September 14, 2018",2018,"TV-MA","114 min","Dramas, International Movies, Thrillers","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage."
"265",80164779,"Movie","The Land of Steady Habits","Nicole Holofcener","Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais","United States","September 14, 2018",2018,"TV-MA","98 min","Comedies, Dramas, Independent Movies","After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life."
"266",80993613,"TV Show","The Rise of Phoenixes","","Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong","China","September 14, 2018",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Action & Adventure","When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves."
"267",81092328,"Movie","American Warfighter","Jerry G. Angelo","Jerry G. Angelo, Paul Logan, Joshua Santana, Carolina Castro, David Robbins, Michael King, Tom Crisp, Jennifer Marshall, Victoria Clare, Ryan Baumann, Isaac C. Singleton Jr., Said Faraj","United States","September 13, 2019",2019,"TV-MA","106 min","Dramas","A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything."
"268",81183572,"Movie","Deviant Love","Michael Feifer","Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon","United States","September 13, 2019",2019,"TV-14","87 min","Thrillers","In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives."
"269",81037283,"Movie","Head Count","Elle Callahan","Isaac Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe","United States","September 13, 2019",2018,"TV-MA","90 min","Horror Movies, Independent Movies","A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual."
"270",80244973,"Movie","Hello, Privilege. It's Me, Chelsea","Alex Stapleton","Chelsea Handler","United States","September 13, 2019",2019,"TV-MA","65 min","Documentaries","In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career."
"271",81095103,"TV Show","Kabaneri of the Iron Fortress: The Battle of Unato","","Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki","","September 13, 2019",2019,"TV-MA","1 Season","Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
"272",81132438,"Movie","Locked on You","Kıvanç Baruönü","Ata Demirer, Demet Akbağ, Gonca Vuslateri, İlker Aksum, Tarık Ünlüoğlu, Erkan Can, Hande Dane, Ayten Uncuoğlu, Hakan Salınmış, İştar Gökseven","Turkey","September 13, 2019",2018,"TV-14","105 min","Comedies, International Movies","When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island."
"273",80217779,"TV Show","Marianne","","Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat","France","September 13, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
"274",80211572,"TV Show","Monarca","","Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza","Mexico","September 13, 2019",2019,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets."
"275",81161230,"Movie","Shanghai Fortress","Teng Huatao","Lu Han, Shu Qi, Shi Liang, Godfrey Gao, Wang Gongliang, Wang Sen, Sun Jialing, Vincent Matile","China","September 13, 2019",2019,"TV-14","107 min","Dramas, International Movies, Romantic Movies","A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source."
"276",81002412,"Movie","Tall Girl","Nzingha Stewart","Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc, Luke Eisner, Clara Wilsey, Anjelika Washington, Rico Paris, Angela Kinsey, Steve Zahn","United States","September 13, 2019",2019,"TV-PG","103 min","Children & Family Movies, Comedies, Romantic Movies","After years of slouching through life, 6-foot-1 teen Jodi resolves to conquer her insecurities and gets caught up in a high school love triangle."
"277",81023636,"Movie","Time Trap","Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari","United States","September 13, 2019",2018,"TV-14","88 min","Action & Adventure, Sci-Fi & Fantasy","While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."
"278",80217669,"TV Show","Top Boy","","Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook","United Kingdom","September 13, 2019",2019,"TV-MA","1 Season","British TV Shows, Crime TV Shows, International TV Shows","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
"279",80153467,"TV Show","Unbelievable","","Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel","United States","September 13, 2019",2019,"TV-MA","1 Season","Crime TV Shows, TV Dramas","After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events."
"280",80192834,"Movie","Reversing Roe","","Ricki Stern, Annie Sundberg","United States","September 13, 2018",2018,"TV-14","100 min","Documentaries","Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade."
"281",80198046,"Movie","Ghost of the Mountains","Ben Wallis","Antoine Fuqua","United States","September 13, 2017",2017,"G","78 min","Documentaries","An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards."
"282",80106307,"Movie","Extremis","Dan Krauss","","United States","September 13, 2016",2016,"TV-PG","25 min","Documentaries","Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices."
"283",80993062,"TV Show","The I-Land","","Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill","United States","September 12, 2019",2019,"TV-MA","1 Season","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them."
"284",81098586,"TV Show","The Mind, Explained","","Emma Stone","United States","September 12, 2019",2019,"TV-14","1 Season","Docuseries, Science & Nature TV","Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series."
"286",81011508,"TV Show","Life","","Lee Dong-wook, Cho Seung-woo, Won Jin-ah, Lee Kyu-hyung, Moon Sung-keun, Yoo Jae-myung, Moon So-ri, Chun Ho-jin","South Korea","September 12, 2018",2018,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Dramas","At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO."
"287",81001000,"Movie","On My Skin","Alessio Cremonini","Alessandro Borghi, Jasmine Trinca, Milvia Marigliano, Max Tortora","Italy","September 12, 2018",2018,"TV-MA","100 min","Dramas, International Movies","Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events."
"288",80192445,"Movie","Heroin(e)","Elaine McMillion Sheldon","","United States","September 12, 2017",2017,"TV-14","40 min","Documentaries","This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic."
"289",80158670,"Movie","Jeff Dunham: Relative Disaster","Michael Simon","Jeff Dunham","United States","September 12, 2017",2017,"TV-MA","71 min","Stand-Up Comedy","Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics."
"290",80223685,"TV Show","Daniel Sloss: Live Shows","","Daniel Sloss","United States","September 11, 2018",2018,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
"291",80189586,"TV Show","If I were an Animal","","Zachary Young, Fleur Delahunty","","September 11, 2018",2018,"TV-Y","1 Season","Docuseries, Kids' TV, Science & Nature TV","Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood."
"292",80244019,"Movie","The Resistance Banker","Joram Lürsen","Barry Atsma, Jacob Derwig, Pierre Bokma, Jaap Spijkers, Raymond Thiry, Fockeline Ouwerkerk, Matteo van der Grijn, Jochum ten Haaf, Peter Jordan, Götz Schubert","Netherlands","September 11, 2018",2018,"TV-MA","123 min","Dramas, International Movies","Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance."
"294",81060174,"Movie","Bill Burr: Paper Tiger","Mike Binder","Bill Burr","United States, United Kingdom","September 10, 2019",2019,"TV-MA","67 min","Stand-Up Comedy","Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
"296",80216928,"Movie","Evelyn","Orlando von Einsiedel","","","September 10, 2019",2019,"TV-MA","96 min","Documentaries, International Movies","Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing."
"297",81001494,"Movie","Our Godfather","Mark Franchetti, Andrew Meier","Tommaso Buscetta","United Kingdom","September 10, 2019",2019,"TV-MA","93 min","Documentaries, International Movies","In 1986, Tommaso Buscetta became the first top-level Mafia boss ever to testify against the mob. It cost him and his family everything."
"298",81077065,"TV Show","Terrace House: Tokyo 2019-2020","","You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama","","September 10, 2019",2019,"TV-MA","1 Season","International TV Shows, Reality TV","Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
"299",80991570,"Movie","My Teacher, My Obsession","Damián Romay","Lucy Loken, Laura Bilgeri, Rusty Joiner, Alexandria Deberry, Dakota Bruton, Theresa Sutera, Vin Morreale Jr., Shelby Alicea, Tyler Joseph Campbell, Lestonja Diaz","United States","September 10, 2018",2018,"TV-14","86 min","Thrillers","When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
"300",80184129,"Movie","68 Kill","Trent Haaga","Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust","United States","September 1, 2019",2017,"R","96 min","Comedies, Independent Movies, Thrillers","A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent."
"304",80187228,"Movie","First Kill","Steven C. Miller","Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","United Kingdom, Canada, United States","September 1, 2019",2017,"R","102 min","Action & Adventure","A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime."
"305",81031008,"Movie","For the Birds","Richard Miron","Kathy Murphy","United States","September 1, 2019",2018,"TV-MA","93 min","Documentaries","A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family."
"308",81073764,"TV Show","Loo Loo Kids: Johny & Friends Musical Adventures","","","","September 1, 2019",2016,"TV-Y","1 Season","Kids' TV","Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series."
"309",81165769,"Movie","Mokalik (Mechanic)","Kunle Afolayan","Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde","Nigeria","September 1, 2019",2019,"TV-14","100 min","Dramas, International Movies","A young boy's life shifts when he's sent to work at a mechanic's shop far from his suburban home until an opportunity forces him to make a tough choice."
"319",80241003,"TV Show","Serial Killer with Piers Morgan","","Piers Morgan","United Kingdom","September 1, 2019",2018,"TV-14","1 Season","British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
"323",81165786,"Movie","The Bridge","Kunle Afolayan","Chidinma Ekile, Ademola Adedoyin, Kunle Afolayan, Zack Orji, Tina Mba, Ayo Akinwale, Akim Mogaji, Ayo Mogaji, Ken Erics","Nigeria","September 1, 2019",2017,"TV-14","119 min","Dramas, International Movies, Romantic Movies","A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed."
"324",81165770,"Movie","The CEO","Kunle Afolayan","Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo, Nico Panagio, Aurélie Eliam, Peter King Nzioki Mwania, Fatym Layachi, Kemi Lala Akindoju, Angélique Kidjo","Nigeria","September 1, 2019",2016,"TV-14","109 min","Dramas, International Movies, Thrillers","A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive."
"329",81154900,"TV Show","Transformers Rescue Bots Academy","","Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou","United States","September 1, 2019",2019,"TV-Y","1 Season","Kids' TV","As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
"330",81154956,"TV Show","Transformers: Cyberverse","","Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune","","September 1, 2019",2018,"TV-Y7","1 Season","Kids' TV","Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series."
"331",81158575,"Movie","Uncle Naji in UAE","Ahmed Zain","Ibrahim Almeirasi, Ahmed Saif, Alia Almannai, Mohamed Morshed, Mohamed Alkendi, Tariq Almuhairi","United Arab Emirates","September 1, 2019",2019,"TV-14","95 min","Comedies, International Movies","Two young Yemeni business partners decide to go on vacation in the UAE with a few local friends, but their fun trip soon turns terrifying."
"332",81065786,"Movie","Used Goods","Mohamed Hamdy","Mohamed Ragab, Ayten Amer, Hassan Abdulfattah","Egypt","September 1, 2019",2018,"TV-MA","95 min","Action & Adventure, Comedies, International Movies","To evade greedy pharmaceutical crooks, a medical scientist disguises himself as a struggling salesman to protect his groundbreaking cancer research."
"334",81004113,"TV Show","Age of Rebellion","Peter Ho","Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu","Taiwan","September 1, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
"337",81005312,"Movie","Carbon","Olivier Marchal","Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu","France, Belgium","September 1, 2018",2017,"TV-MA","104 min","Dramas, International Movies, Thrillers","On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder."
"338",80082969,"Movie","Delirium","Dennis Iliadis","Topher Grace, Genesis Rodriguez, Patricia Clarkson, Callan Mulvey, Robin Thomas, Daisy McCrackin","United States","September 1, 2018",2018,"R","96 min","Horror Movies, Thrillers","A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted."
"339",80994130,"Movie","Garbage","Qaushiq Mukherjee","Tanmay Dhanania, Trimala Adhikari, Satarupa Das, Satchit Puranik, Gitanjali Dang, Shruti Viswan, Nikhil Chopra, Krish Moitra","India","September 1, 2018",2018,"TV-MA","109 min","Dramas, Independent Movies, International Movies","The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller."
"340",81019924,"Movie","Hope Aur Hum","Sudip Bandyopadhyay","Naseeruddin Shah, Kabir Sajid, Sonali Kulkarni, Amir Bashir, Naveen Kasturia, Neha Chauhan, Virti Vaghani","India","September 1, 2018",2018,"TV-14","95 min","Children & Family Movies, Comedies, Dramas","A multigenerational household navigates daily life, evolving relationships and clashes between old and new mindsets in this light family drama."
"341",81018240,"Movie","​​Kuch Bheege Alfaaz","Onir","Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan","India","September 1, 2018",2018,"TV-14","110 min","Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
"342",81013710,"Movie","Love and Shukla","Jatla Siddartha","Saharsh Kumar Shukla, Taneea Rajawat, Hima Singh, Aparna Upadhyay, Loknath Tiwari, Sambhaji Sasane","India","September 1, 2018",2017,"TV-MA","110 min","Dramas, Independent Movies, International Movies","A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters."
"344",81014988,"Movie","Once Again","Kanwal Sethi","Shefali Shah, Neeraj Kabi, Rasika Dugal, Bidita Bag, Priyanshu Painyuli, Bhagwan Tiwari","India, Germany, Austria","September 1, 2018",2018,"TV-PG","101 min","Dramas, Independent Movies, International Movies","After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person."
"346",80994108,"TV Show","Sisters","","Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski","Australia","September 1, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie."
"348",81005314,"Movie","Sparring","Samuel Jouy","Mathieu Kassovitz, Olivia Merilahti, Souleymane M'Baye, Billie Blain, Malik Bine, Zakariya Gouram, Jolente De Keersmaeker, Lyes Salem, Ali Labidi, David Saracino","France","September 1, 2018",2017,"TV-14","94 min","Dramas, International Movies, Sports Movies","A middle-aged boxer with a mixed record becomes a champion's sparring partner while dreaming of one last chance to end his career with a victory."
"349",80242828,"Movie","Stephanie","Akiva Goldsman","Shree Cooks, Frank Grillo, Anna Torv","United States","September 1, 2018",2017,"R","86 min","Horror Movies","A menacing, unseen force stalks a young girl living by herself in a suburban house, where she's surrounded by reminders of her once-happy family."
"350",81004223,"Movie","Terrifier","Damien Leone","Jenna Kanell, Samantha Scaffidi, David Howard Thornton, Catherine Corcoran, Pooya Mohseni, Matt McAllister, Katie Maguire, Gino Cafarelli, Cory DuVal, Michael Leavy","United States","September 1, 2018",2017,"TV-MA","84 min","Horror Movies, Independent Movies, Thrillers","On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence."
"351",80198730,"Movie","The Keeping Hours","Karen Moncrieff","Lee Pace, Carrie Coon, Sander Thomas, Amy Smart, Ray Baker, Ana Ortiz, Molly Hagan, Christina Vidal, Anna Diop, Jane Daly, Cliff Chamberlain","United States","September 1, 2018",2017,"PG-13","95 min","Dramas, Thrillers","Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home."
"352",80999945,"Movie","The Perfect Day","Jean-Pierre Devillers","","","September 1, 2018",2018,"TV-14","93 min","Documentaries, International Movies, Sports Movies","French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final."
"353",81016043,"Movie","The Promise","Sophon Sakdaphisit","Bee Namthip, Apichaya Thongkham, Thunyaphat Pattarateerachaicharoen, Panisara Rikulsurakan, Deuntem Salitul, Benjamin Joseph Varney, Suchada Poonpattanasuk, Surachai Ningsanond, Teerapop Songwaja, Duangjai Hiransri, Sawanee Utoomma, Chaleeda Gilbert","Thailand","September 1, 2018",2017,"TV-MA","113 min","Horror Movies, International Movies, Thrillers","In the wake of the 1997 financial crisis, two teens whose families face bankruptcy make a suicide pact – but one of them breaks the promise."
